id,target
0,7.8675227
2,7.9331336
6,7.8926525
7,8.234067
10,8.203232
14,8.187111
16,8.226551
17,7.7202253
18,7.805436
19,7.7069654
21,7.574216
28,7.8556027
29,7.775835
30,7.612899
31,7.8713713
34,8.224768
35,7.9358697
36,7.9914813
38,7.904919
40,7.7528887
41,8.2973585
42,7.9017997
43,8.225142
44,8.545699
46,7.8373175
47,7.754902
48,7.7726116
50,8.184641
53,8.08297
54,8.135571
61,7.82074
63,8.006615
65,7.8648605
67,8.29246
74,7.9565153
79,7.722198
81,7.8483005
84,7.9260025
87,7.782686
88,7.693862
89,7.9360538
90,7.6563587
93,8.127558
94,7.842672
96,8.14477
97,7.9373074
101,7.965121
105,7.7681446
106,7.8726277
110,7.8354125
111,7.9216137
112,7.6772184
115,7.850115
116,7.8136845
117,7.913335
125,7.710097
127,7.854818
128,7.9298515
129,7.781202
132,7.8836274
133,7.791346
134,7.7672095
136,8.543313
138,7.790568
141,7.832267
142,7.7346354
143,7.714906
144,7.8093896
147,7.649908
148,7.817688
155,7.5499434
157,8.147191
163,7.938323
164,7.8431225
166,8.064621
168,8.1604805
172,7.5661736
174,7.863872
176,8.347471
179,7.763594
180,7.997123
188,7.917454
199,7.8062077
201,8.086103
203,8.088097
206,7.9319854
209,8.3265295
211,7.8559637
214,7.6669264
217,7.8640304
222,8.052155
223,8.080805
230,7.766801
231,7.6801467
234,7.7827196
236,7.4550037
238,7.6652436
246,8.060998
247,7.5404916
248,7.8186197
249,7.8781123
250,7.566313
252,7.9609194
253,7.6619825
254,7.774111
255,7.8778706
256,7.962212
257,8.042676
258,7.9369545
260,8.126196
264,7.509338
268,7.6836324
269,8.101728
270,8.21952
271,8.210645
272,8.136431
274,7.648505
277,7.9280314
279,7.7558804
283,8.156986
284,7.763905
285,8.108372
288,7.9477773
289,8.181444
291,7.963093
294,7.8140044
295,7.744372
296,8.351986
297,7.7577724
299,7.856197
301,8.080318
303,8.250163
305,7.9009867
306,8.087212
308,7.8588943
311,7.9081783
312,8.005222
313,7.8429804
315,8.000531
319,7.5644326
320,7.986614
323,8.010168
324,8.285497
326,7.8119507
328,7.6356072
329,8.062198
333,8.102459
334,8.047768
335,7.738843
336,8.509823
337,7.7480555
338,7.8239703
339,7.9339323
340,8.110553
341,7.7970004
342,7.996438
344,7.841352
346,7.8691607
347,7.957715
350,7.888576
351,7.917695
352,7.8182116
356,7.8237815
360,7.735351
365,8.239464
371,7.9503484
377,7.5939455
384,7.975396
387,7.4731927
388,7.533059
391,7.542757
392,8.0554905
398,7.8561893
399,7.9896
403,8.344526
404,7.836374
407,8.053919
409,7.8698745
410,7.8243856
411,8.3706
413,7.8972797
414,8.039907
417,7.625668
418,8.236383
420,7.983209
423,7.610624
424,7.9684267
426,8.15029
431,8.328093
432,7.8795156
433,7.7729025
434,7.8580003
436,8.043074
438,8.372217
440,8.176147
444,7.964421
445,7.931859
446,7.9277177
447,7.9016223
448,7.710109
449,7.734229
450,8.175469
453,8.115293
454,7.846524
456,7.9883122
457,7.8877525
458,7.6544933
464,7.6374125
465,7.948997
467,7.9972944
470,7.838843
471,7.683858
474,7.850753
478,7.7598867
480,7.779118
484,7.9885693
485,8.123031
487,8.452869
488,8.111595
489,7.8138595
491,7.6741433
495,7.877808
499,8.125963
500,7.818799
501,7.841354
502,8.008376
503,7.7263203
506,8.224262
512,8.437544
516,8.134387
518,7.595171
519,8.012858
521,7.639735
524,7.823627
527,7.9547925
528,7.9474287
531,7.727874
532,7.7586856
533,7.7913265
534,7.7894144
535,7.9813514
537,7.9775686
538,8.0758095
544,7.9700646
548,8.436687
549,8.036851
550,8.380259
554,7.8271995
555,7.722501
556,8.3636875
558,8.067442
560,7.820664
561,7.646992
564,8.161831
566,7.6217957
571,7.4766088
572,7.770948
573,7.8794084
574,8.295562
575,8.053495
576,7.760511
578,7.662005
579,7.93308
582,8.307551
587,8.09984
588,7.997415
592,7.949487
593,7.9911075
606,8.256428
608,8.105871
610,7.8843927
611,7.80687
612,7.9268475
613,7.613249
614,8.230485
615,7.8755994
617,7.9375157
618,7.8315635
620,7.87438
623,7.971062
624,7.7967544
626,7.5386643
628,7.769445
632,8.11508
639,8.040507
645,7.9042253
648,7.9705205
649,7.6217957
650,7.7380295
656,8.088448
657,7.805746
660,7.891306
663,7.972702
664,7.5992966
665,8.08719
671,8.061262
673,7.8650146
674,7.8768864
677,8.086468
681,7.9527297
683,7.9990935
685,7.857281
687,7.883173
688,7.9937634
691,8.245158
692,7.6671987
695,7.8872976
700,7.872845
703,7.834789
705,8.296875
709,8.079113
712,7.84157
713,7.7235837
715,7.9158773
717,8.278801
720,8.025951
721,7.7186365
722,7.872857
729,8.089943
730,7.7146187
732,8.074675
733,8.372108
736,8.679756
738,7.9104943
741,7.8667088
743,7.777059
745,7.8467684
746,7.7301
748,8.22168
749,7.808644
753,7.8389254
759,7.9249563
762,7.85081
764,8.150789
768,8.010879
769,7.749448
770,7.8197055
773,7.8313904
779,7.622025
781,7.7911587
784,7.881869
785,8.025669
791,7.736765
793,7.6681066
794,8.121531
801,7.885719
805,7.7878294
810,7.86933
811,7.8960605
814,7.6375422
818,7.800002
821,7.831649
824,8.043002
826,7.8260202
828,7.911898
831,7.7578325
832,7.876674
833,7.8233795
835,7.7651353
838,8.2210655
839,7.9461713
842,7.674642
845,7.8043222
846,7.882721
848,7.9095855
852,7.8598766
857,7.819927
863,7.942168
864,8.162159
865,7.7439737
869,7.996255
870,8.073524
871,7.5282245
873,7.894437
874,7.615238
875,7.9853573
877,7.934506
878,7.5411344
879,7.918074
881,8.014156
882,7.6446514
883,8.1691675
884,7.7742767
885,7.921672
887,8.019379
889,7.878037
892,7.5938325
893,7.653363
897,7.6954255
901,7.824597
905,7.9995832
908,7.678926
911,7.6532817
914,8.039658
916,7.9458575
928,8.027838
934,7.682338
936,7.8832836
938,7.871774
939,8.019588
941,7.455819
942,7.73681
943,7.690242
945,7.641886
947,8.296692
961,7.663566
965,7.514576
967,7.739487
970,7.8392096
971,7.4732
974,8.072916
983,7.930021
984,8.202217
987,7.901286
989,7.9992013
991,7.5678625
992,7.637098
994,7.815713
997,8.056345
1005,7.8462768
1006,7.645968
1008,7.8106093
1009,7.908779
1010,8.259863
1011,7.402251
1012,7.749147
1018,8.699918
1025,7.9446893
1027,7.779729
1030,8.058357
1031,8.151482
1032,7.7934957
1033,8.026266
1034,8.116716
1035,7.787509
1036,7.6246357
1037,7.7424216
1038,7.9645815
1039,8.174159
1041,7.89408
1043,7.9194674
1044,7.781191
1045,7.7467637
1046,7.8717446
1048,7.924064
1049,7.691219
1050,7.8151727
1055,7.198536
1057,7.699558
1059,7.502922
1064,8.438087
1065,8.195654
1069,8.128443
1075,7.331345
1076,7.982706
1077,7.859873
1079,8.024799
1081,7.769685
1083,7.949907
1086,7.774518
1087,8.002291
1088,7.8643646
1090,8.105215
1091,7.734411
1092,8.054375
1099,7.9540424
1101,7.6150603
1103,7.59306
1106,7.9997625
1107,7.622253
1108,7.9367905
1111,8.355757
1113,7.799623
1114,8.126244
1117,8.0067425
1121,8.021004
1123,7.732577
1127,7.6808443
1128,7.8282223
1129,8.017437
1134,8.302036
1135,7.7451663
1136,7.767073
1137,8.119251
1144,8.040991
1147,7.7199264
1148,8.129236
1150,8.118032
1152,8.009262
1153,8.22386
1154,7.955741
1157,8.112213
1163,7.615965
1168,8.187477
1175,8.226393
1176,7.842231
1179,7.6102204
1180,7.9385076
1185,7.672989
1188,7.76879
1193,7.9378333
1195,7.6866074
1196,7.4121222
1197,8.169589
1207,7.931921
1208,7.7109714
1209,7.6928935
1210,7.985344
1211,8.031869
1215,7.904497
1217,7.901029
1218,7.9787173
1224,8.037699
1225,7.7393017
1230,8.079632
1235,7.9997306
1237,7.9010615
1239,7.782679
1240,7.723727
1247,7.957144
1248,7.716036
1250,7.920616
1251,8.064697
1252,7.5710464
1263,7.9014354
1265,7.878602
1270,7.751275
1274,7.874308
1275,7.9051094
1278,7.884295
1281,7.6639695
1282,8.193848
1283,8.320326
1285,7.9250975
1286,8.004566
1287,8.123661
1289,7.714731
1290,8.094942
1293,7.5858192
1294,7.7333407
1298,7.808367
1301,8.352647
1303,7.8801074
1306,7.559425
1310,7.600582
1314,8.336771
1316,7.7930584
1324,7.552291
1330,7.806631
1332,7.805596
1333,8.089745
1334,8.173596
1336,7.9449954
1338,7.9638133
1339,7.7122164
1343,8.267404
1347,7.771042
1349,7.993066
1354,8.093414
1355,8.49056
1358,7.721415
1360,7.77177
1361,8.611012
1364,8.022663
1365,7.794167
1371,7.4786515
1388,8.076155
1390,7.833574
1393,7.9598103
1395,7.796688
1409,7.965614
1412,7.8725553
1414,8.08363
1415,7.8342
1417,7.6292562
1422,7.6701746
1423,8.105143
1424,7.8225307
1425,7.6683702
1427,7.913972
1435,8.028448
1436,7.692913
1438,7.938932
1440,8.101259
1444,7.696564
1445,8.081219
1449,7.8229594
1450,8.317242
1451,7.926549
1452,7.8271785
1454,7.9736934
1455,8.141907
1457,8.03092
1458,7.6963973
1461,7.8099265
1462,8.210181
1463,8.2388
1465,7.922061
1468,7.6359043
1471,8.207089
1473,7.90699
1475,8.181474
1477,7.749642
1478,7.709497
1481,7.8308816
1483,7.7807617
1484,7.9539084
1485,7.973773
1486,7.6966386
1490,7.705283
1491,7.9097958
1492,7.918387
1494,7.8376975
1497,7.7223363
1501,7.910384
1502,7.835147
1505,7.9058247
1507,8.017979
1508,7.439885
1511,7.8403645
1513,7.953592
1515,8.233141
1518,8.187832
1525,7.981485
1530,7.4657106
1533,7.857068
1538,7.836757
1539,8.0816345
1540,8.0365715
1541,7.920944
1542,8.003075
1544,8.067141
1547,7.732337
1548,7.879815
1549,7.908471
1550,7.8055496
1553,8.0185585
1555,7.9897027
1558,8.114458
1560,7.951162
1566,7.137986
1567,7.905375
1568,7.539876
1569,7.7225947
1571,7.9894447
1577,8.164341
1578,8.356844
1579,7.4886827
1585,7.9749074
1587,8.307129
1588,7.9130087
1590,7.8868003
1591,8.414017
1592,8.142841
1595,8.062102
1596,8.02766
1597,7.943458
1598,7.7744384
1599,7.836717
1604,7.8324795
1606,8.094634
1608,7.711024
1611,7.8973646
1614,7.8040237
1615,7.974108
1616,8.018352
1617,7.9649253
1621,8.156687
1623,8.319671
1624,7.77973
1628,7.792025
1629,8.195974
1630,7.472725
1632,7.957402
1633,7.784267
1635,7.9738317
1636,7.9532456
1638,7.779794
1641,8.145819
1642,7.919944
1644,7.756612
1646,7.7038946
1648,8.19874
1650,7.5592356
1651,7.888965
1654,7.748679
1656,8.112926
1660,7.802801
1662,7.799669
1663,7.6145864
1669,7.8137226
1671,8.00071
1672,8.424089
1673,8.067942
1676,7.97149
1679,8.150787
1689,7.8639064
1690,7.530884
1691,7.6510015
1692,8.497082
1696,7.561547
1699,7.7953057
1700,7.780607
1701,7.935065
1703,7.758664
1704,7.8390965
1705,8.111444
1706,7.861504
1707,7.9277167
1708,8.056151
1709,7.660284
1714,7.801324
1717,7.8298497
1718,7.8176007
1719,7.5100517
1721,8.057123
1722,7.9808574
1723,7.7454724
1724,7.5840373
1726,7.928676
1727,7.7367997
1735,8.648197
1737,7.94378
1741,7.8115363
1753,7.7362905
1757,7.8763294
1758,8.034574
1763,7.5424447
1765,7.70141
1767,7.844591
1773,7.9524803
1775,8.060786
1776,7.5198803
1777,7.99034
1783,7.7147093
1788,7.70468
1795,8.502678
1799,7.9346805
1800,7.9130645
1801,8.056058
1802,7.9645367
1805,8.001173
1806,7.761663
1810,8.044794
1811,7.7953463
1812,8.073996
1813,7.6450467
1815,7.594096
1817,7.7718825
1819,7.690668
1823,8.08798
1824,7.822224
1828,7.8765297
1829,7.838053
1833,8.366397
1834,7.729213
1838,7.973593
1841,8.085522
1844,7.959279
1845,7.8588247
1848,8.260101
1852,7.9627357
1853,8.116545
1854,7.7407956
1855,8.096859
1860,7.9829783
1861,7.912051
1862,7.9371953
1865,7.787124
1866,7.8446817
1868,7.5994816
1871,7.824714
1873,7.9592466
1874,7.850148
1878,7.5147767
1881,7.8808193
1882,7.8291397
1884,8.277167
1886,7.904843
1887,8.165402
1891,7.982396
1892,7.8230896
1893,7.908561
1895,8.008776
1897,7.7218995
1899,7.869127
1900,8.272841
1902,7.429842
1908,7.84384
1910,7.9755692
1911,7.992135
1912,7.8574286
1915,7.6210666
1918,7.7893105
1920,7.8208833
1923,7.5776553
1927,7.91581
1930,7.7913084
1932,7.563807
1934,8.097143
1935,8.174017
1936,7.65995
1938,7.8860173
1945,8.091199
1946,8.074675
1949,7.8932166
1950,7.927179
1951,7.7252703
1954,8.090939
1956,7.8070846
1957,7.9409127
1964,7.761507
1966,7.9642897
1970,7.926458
1972,7.708128
1977,8.0837555
1978,7.6434283
1979,8.044432
1982,7.8171744
1983,7.6923923
1984,7.685971
1987,7.7370276
1989,7.770672
1990,7.825027
1991,7.958533
1994,7.777227
1995,7.705793
1997,7.671976
2002,8.149771
2003,7.887506
2005,8.0186615
2009,7.695617
2014,8.137657
2015,8.066292
2018,8.071978
2020,8.026228
2022,7.9014297
2027,8.222742
2030,7.686631
2032,7.856476
2034,7.912212
2035,8.388161
2044,8.361767
2050,7.5380173
2056,7.505798
2057,8.032677
2058,7.670753
2062,7.708706
2064,8.197611
2067,8.415249
2071,8.007221
2072,7.7568264
2077,8.123134
2081,7.710486
2086,7.634563
